CZ,Territory,Household,Summer,Autumn,Winter,Spring
5,NSW,1,732,745,927,705
5,NSW,2,1278,1232,1565,1162
5,NSW,3,1530,1503,1903,1425
5,NSW,4,1819,1717,2148,1627
5,NSW,5+,2158,2082,2761,2007
5,QLD,1,787,825,1076,775
5,QLD,2,1333,1312,1714,1232
5,QLD,3,1585,1584,2051,1495
5,QLD,4,1874,1797,2297,1696
5,QLD,5+,2212,2163,2910,2076
5,SA,1,689,702,882,646
5,SA,2,1234,1190,1520,1103
5,SA,3,1486,1461,1858,1366
5,SA,4,1776,1674,2103,1568
5,SA,5+,2114,2040,2716,1948
5,SA,1,687,704,894,651
5,SA,2,1225,1188,1526,1107
5,SA,3,1460,1442,1846,1354
5,SA,4,1740,1652,2090,1552
5,SA,5+,2080,2019,2688,1932
4,NSW,1,957,909,1153,871
4,NSW,2,1492,1393,1870,1406
4,NSW,3,2401,2202,2658,2034
4,NSW,4,2401,2202,2658,2034
4,NSW,5+,2401,2202,2658,2034
4,SA,1,937,858,1116,790
4,SA,2,1472,1342,1833,1326
4,SA,3,2381,2152,2621,1953
4,SA,4,2381,2152,2621,1953
4,SA,5+,2381,2152,2621,1953
4,VIC,1,1052,930,1062,871
4,VIC,2,1586,1414,1779,1406
4,VIC,3,2495,2223,2567,2034
4,VIC,4,2495,2223,2567,2034
4,VIC,5+,2495,2223,2567,2034
2,NSW,1,926,847,805,793
2,NSW,2,1412,1271,1208,1195
2,NSW,3,1662,1520,1502,1442
2,NSW,4,2093,1925,1830,1793
2,NSW,5+,2448,2172,2111,2032
2,QLD,1,908,857,848,799
2,QLD,2,1393,1281,1250,1202
2,QLD,3,1644,1531,1545,1449
2,QLD,4,2074,1935,1873,1800
2,QLD,5+,2430,2182,2153,2038
1,QLD,1,1029,948,887,895
1,QLD,2,1721,1516,1309,1387
1,QLD,3,1973,1603,1388,1412
1,QLD,4,2690,2237,1914,2178
1,QLD,5+,2690,2404,2365,2256
6,NSW,1,883,848,1010,800
6,NSW,2,1535,1385,1752,1388
6,NSW,3,1703,1528,1874,1465
6,NSW,4,1703,1656,2213,1622
6,NSW,5+,2285,2184,2690,2161
6,SA,1,673,730,1035,709
6,SA,2,1110,1171,1600,1151
6,SA,3,1142,1211,1713,1204
6,SA,4,1322,1384,1929,1363
6,SA,5+,1685,1764,2352,1743
6,VIC,1,674,684,927,668
6,VIC,2,1112,1125,1493,1110
6,VIC,3,1143,1165,1606,1163
6,VIC,4,1324,1338,1821,1322
6,VIC,5+,1686,1718,2245,1702
7,ACT,1,850,987,1543,980
7,ACT,2,1200,1468,2042,1397
7,ACT,3,1598,1859,2485,1780
7,ACT,4,1745,2303,3313,2181
7,ACT,5+,2058,2492,3313,2287
7,NSW,1,887,1067,1715,1050
7,NSW,2,1237,1549,2215,1466
7,NSW,3,1635,1940,2658,1850
7,NSW,4,1782,2384,3486,2251
7,NSW,5+,2094,2572,3486,2357
7,TAS,1,983,1394,2182,1444
7,TAS,2,1581,2109,2950,2144
7,TAS,3,1623,2192,3286,2374
7,TAS,4,1946,2571,3642,2661
7,TAS,5+,2178,2719,3706,2952
7,VIC,1,739,718,1166,720
7,VIC,2,1263,1280,1753,1278
7,VIC,3,1263,1280,1753,1278
7,VIC,4,1263,1280,1753,1278
7,VIC,5+,1918,2023,2947,2128
